"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"178Y-10","USD","178Y-10-0","Metrô Jd. São Paulo","0","63375"
"178Y-10","USD","178Y-10-1","Vl. Amélia","1","72294"
"178Y-21","U__","178Y-21-0","Metrô Jd. São Paulo","0","68778"
"178Y-21","U__","178Y-21-1","Conj. Dos Bancários","1","68779"
"179X-10","USD","179X-10-0","Metrô Barra Funda","0","71031"
"179X-10","USD","179X-10-1","Jd. Fontális","1","71032"
"1896-10","USD","1896-10-0","Pça. Ramos De Azevedo","0","70663"
"1896-10","USD","1896-10-1","Jaraguá","1","70664"
"189L-10","USD","189L-10-0","Lapa","0","63527"
"189L-10","USD","189L-10-1","Conexão Vl. Iório","1","72337"
"199D-10","USD","199D-10-0","Term. Pinheiros","0","71123"
"199D-10","USD","199D-10-1","Conexão Vl. Iório","1","57749"
"2002-10","USD","2002-10-0","Term. Bandeira","0","69240"
"2004-10","USD","2004-10-0","Cptm Guaianazes","0","52380"
"2004-10","USD","2004-10-1","Jd. Nsa. Sra. Do Caminho","1","63432"
"2005-10","USD","2005-10-0","São Miguel","0","60783"
"2006-10","USD","2006-10-0","Cptm Itaim Paulista","0","70207"
"2006-10","USD","2006-10-1","Cid. Kemel I","1","70212"
"2007-10","USD","2007-10-0","Cptm Itaim Paulista","0","61824"
"2007-10","USD","2007-10-1","Cid. Kemel Ii","1","61825"
"2008-10","USD","2008-10-0","Cptm Itaim Paulista","0","52774"
"2008-10","USD","2008-10-1","Jd. Nsa. Sra. Do Caminho","1","70208"
"2009-10","USD","2009-10-0","Cptm Guaianazes","0","64506"
"2009-10","USD","2009-10-1","Jd. Robru","1","64507"
"2010-10","USD","2010-10-0","Shop. D","0","71870"
"2010-10","USD","2010-10-1","Pq. Edu Chaves","1","71871"
"2011-10","USD","2011-10-0","Metrô Santana","0","62249"
"2011-10","USD","2011-10-1","Vl. Sabrina","1","72242"
"2012-10","US_","2012-10-0","Metrô Tietê","0","69290"
"2013-10","USD","2013-10-0","Cachoeirinha","0","70111"
"2013-10","USD","2013-10-1","Cohab Antártica","1","61183"
"2014-10","USD","2014-10-0","Metrô Barra Funda","0","71033"
"2014-10","USD","2014-10-1","Jd. Pery Alto","1","71034"
"2016-10","USD","2016-10-0","São Miguel","0","70197"
"2016-10","USD","2016-10-1","Jd. Das Oliveiras","1","59109"
"2017-10","USD","2017-10-0","São Miguel","0","69021"
"2018-10","USD","2018-10-0","São Miguel","0","54224"
"2019-10","USD","2019-10-0","Shop. Penha","0","72024"
"2019-10","USD","2019-10-1","Pq. Paineiras","1","72026"
"2020-10","USD","2020-10-0","Metrô Tucuruvi","0","68839"
"2021-10","USD","2021-10-0","Cptm Guaianazes","0","56231"
"2021-10","USD","2021-10-1","Jd. Bandeirantes","1","56232"
"2023-10","USD","2023-10-0","Metrô Tucuruvi","0","72488"
"2023-10","USD","2023-10-1","Cachoeira","1","72489"
"2023-41","U__","2023-41-0","Metrô Tucuruvi","0","72139"
"2023-41","U__","2023-41-1","Jd. Labitary","1","72140"
"2024-10","USD","2024-10-0","Cachoeira","0","72505"
"2025-10","USD","2025-10-0","Santana","0","64673"
"2025-10","USD","2025-10-1","Vl. Nova Galvão","1","71683"
"2026-10","USD","2026-10-0","Pq. Novo Mundo","0","60288"
"2026-10","USD","2026-10-1","Jaçanã","1","63434"
"2028-10","USD","2028-10-0","Metrô Tucuruvi","0","65251"
"2028-10","USD","2028-10-1","Vl. Ayrosa","1","65252"
"2029-10","USD","2029-10-0","Metrô Tucuruvi","0","71872"
"2029-10","USD","2029-10-1","Jd. Fontális","1","71873"
"2030-10","U__","2030-10-0","Metrô Santana","0","65209"
"2031-10","USD","2031-10-0","Term. A. E. Carvalho","0","72382"
"2031-10","USD","2031-10-1","Cid. Kemel Ii","1","72383"
"2032-10","US_","2032-10-0","Metrô Carandiru","0","64675"
"2033-10","USD","2033-10-0","Term. Rod. Tietê ","0","69346"
"2058-10","US_","2058-10-0","Cptm Guaianazes","0","65011"
"2058-10","US_","2058-10-1","Term. São Miguel","1","65012"
"2059-10","USD","2059-10-0","Cptm Guaianazes","0","52554"
"2059-10","USD","2059-10-1","São Miguel","1","70127"
"2060-10","USD","2060-10-0","Metrô Artur Alvim","0","57222"
"2076-10","USD","2076-10-0","Term. Penha","0","69198"
"2076-10","USD","2076-10-1","Jd. Das Oliveiras","1","63909"
"2079-10","U__","2079-10-0","Cptm Itaim Paulista","0","64723"
"2080-10","USD","2080-10-0","Term. Aricanduva","0","55813"
"2080-10","USD","2080-10-1","Cid. Kemel","1","65356"
"2088-10","USD","2088-10-0","Term. A. E. Carvalho","0","59120"
"2088-10","USD","2088-10-1","Conj. Encosta Norte","1","70134"
"208M-10","USD","208M-10-0","Term. Pinheiros","0","65000"
"208M-10","USD","208M-10-1","Metrô Santana","1","68276"
"208V-10","USD","208V-10-0","Term. Pq. D. Pedro Ii","0","70114"
"208V-10","USD","208V-10-1","Term. A. E. Carvalho","1","63046"
"209P-1","USD","209P-1-0","Term. Pinheiros","0","59036"
"209P-1","USD","209P-1-1","Cachoeirinha","1","71969"
"209P-10","USD","209P-10-0","Term. Pinheiros","0","59026"
"209P-10","USD","209P-10-1","Cachoeirinha","1","71684"
"2100-10","US_","2100-10-0","Pça. Da Sé","0","59799"
"2100-10","US_","2100-10-1","Term. Vl. Carrão","1","45818"
"2101-10","U__","2101-10-0","Pça. Da Sé","0","59802"
"2101-41","U__","2101-41-0","Term. Vl. Prudente","0","69698"
"2104-10","USD","2104-10-0","Term. Pq. D. Pedro Ii","0","71689"
"2104-10","USD","2104-10-1","Metrô Santana","1","71690"
"2105-10","USD","2105-10-0","Lgo. Da Concórdia","0","72529"
"2105-10","USD","2105-10-1","Jd. Filhos Da Terra","1","72531"
"211L-10","USD","211L-10-0","Lapa","0","71150"
"211L-10","USD","211L-10-1","Mandaqui","1","71149"
"211V-10","USD","211V-10-0","Penha","0","64026"
"2123-10","US_","2123-10-0","Liberdade","0","64710"
"2123-10","US_","2123-10-1","Vl. Medeiros","1","68637"
"2127-10","USD","2127-10-0","Liberdade","0","61405"
"2127-10","USD","2127-10-1","Pq. Edu Chaves","1","68638"
"213E-10","U__","213E-10-0","Metrô Belém","0","64597"
"213E-10","U__","213E-10-1","Pq. Edu Chaves","1","68333"
"2161-10","USD","2161-10-0","Pça. Do Correio","0","63967"
"2161-10","USD","2161-10-1","Pq. Edu Chaves","1","63968"
"2175-10","US_","2175-10-0","Term. Pq. D. Pedro Ii","0","64021"
"2175-10","US_","2175-10-1","Pq. Edu Chaves","1","64174"
"2182-10","USD","2182-10-0","Pça. Do Correio","0","72244"
"2182-10","USD","2182-10-1","Jd. Brasil","1","70858"
"2201-10","USD","2201-10-0","Cptm Guaianazes","0","52666"
"2201-10","USD","2201-10-1","Div. De Ferraz","1","52667"
"2202-10","USD","2202-10-0","Cptm Guaianazes","0","64056"
"2202-10","USD","2202-10-1","Hosp. Itaim","1","60506"
"2203-10","USD","2203-10-0","Shop. Penha","0","72341"
"2203-10","USD","2203-10-1","Burgo Paulista","1","72342"
"2290-10","USD","2290-10-0","Term. Pq. D. Pedro Ii","0","69525"
"2290-10","USD","2290-10-1","Term. São Mateus","1","69526"
"2290-21","U__","2290-21-0","Term. Pq. D. Pedro Ii","0","69529"
"233A-10","USD","233A-10-0","Term. Vl. Carrão","0","70935"
"233A-10","USD","233A-10-1","Jd. Helena","1","70936"
"233C-10","USD","233C-10-0","Ceret","0","59558"
"233C-10","USD","233C-10-1","Term. A. E. Carvalho","1","59559"
"2363-10","USD","2363-10-0","Term. Pq. D. Pedro Ii","0","70115"
"2363-10","USD","2363-10-1","Jd. Danfer","1","57360"
"2435-10","US_","2435-10-0","Term. Aricanduva","0","70769"
"2435-10","US_","2435-10-1","Jd. Coimbra","1","70770"
"2451-10","USD","2451-10-0","Term. Aricanduva","0","58696"
"2451-10","USD","2451-10-1","Vl. São Francisco","1","57114"
"2522-10","USD","2522-10-0","Metrô Itaquera","0","70483"
"2522-10","USD","2522-10-1","Jd. Sto. Antônio","1","70484"
"2523-10","USD","2523-10-0","Term. A. E. Carvalho","0","71844"
"2523-10","USD","2523-10-1","Vl. Progresso","1","71845"
"253F-10","USD","253F-10-0","Term. São Mateus","0","68462"
"253F-10","USD","253F-10-1","Term. A. E. Carvalho","1","61724"
"2551-10","USD","2551-10-0","Term. Pq. D. Pedro Ii","0","70248"
"2551-10","USD","2551-10-1","Term. A. E. Carvalho","1","70249"
"2552-10","USD","2552-10-0","Term. Pq. D. Pedro Ii","0","70117"
"2552-10","USD","2552-10-1","Vl. Mara","1","70125"
"2552-41","U__","2552-41-0","Term. Pq. D. Pedro Ii","0","71846"
"2552-41","U__","2552-41-1","Jd. São Martinho","1","71847"
"2582-10","USD","2582-10-0","Term. Pq. D. Pedro Ii","0","70118"
"2582-10","USD","2582-10-1","Vl. Nova Curuçá","1","70163"
"2582-21","U__","2582-21-0","Term. Pq. D. Pedro Ii","0","70119"
"2583-10","USD","2583-10-0","Term. Aricanduva","0","70139"
"2583-10","USD","2583-10-1","Vl. Curuçá","1","63787"
"2590-10","USD","2590-10-0","Pq. D. Pedro Ii","0","70093"
"2590-10","USD","2590-10-1","União De Vl. Nova","1","70094"
"2626-10","USD","2626-10-0","Term. Pq. D. Pedro Ii","0","70120"
"2626-10","USD","2626-10-1","Jd. Nazaré","1","62616"
"263C-10","USD","263C-10-0","Cohab Ii","0","70181"
"263C-10","USD","263C-10-1","Jd. Helena","1","70182"
"263J-10","USD","263J-10-0","Conj. José Bonifácio","0","71599"
"263J-10","USD","263J-10-1","Penha","1","71600"
"2666-10","USD","2666-10-0","Term. Pq. D. Pedro Ii","0","71848"
"2666-10","USD","2666-10-1","Jd. Camargo Velho","1","71849"
"2666-21","U__","2666-21-0","Term. Pq. D. Pedro Ii","0","70122"
"2678-10","USD","2678-10-0","Term. Pq. D. Pedro Ii","0","70123"
"2678-10","USD","2678-10-1","Oliveirinha","1","62621"
"2678-41","U__","2678-41-0","Term. Pq. D. Pedro Ii","0","72461"
"2702-10","USD","2702-10-0","Metrô Artur Alvim","0","68688"
"2702-10","USD","2702-10-1","Vl. Americana","1","68689"
"2702-21","U__","2702-21-0","Metrô Artur Alvim","0","52716"
"2703-10","USD","2703-10-0","Metrô Itaquera","0","70494"
"2703-10","USD","2703-10-1","Jd. Etelvina","1","70495"
"2703-21","U__","2703-21-0","Metrô Itaquera","0","71469"
"2703-22","U__","2703-22-0","Metrô Itaquera","0","71472"
"2704-10","USD","2704-10-0","Metrô Itaquera","0","70505"
"2704-10","USD","2704-10-1","Jd. Robru","1","70506"
"2705-10","USD","2705-10-0","Metrô Itaquera","0","70498"
"2705-10","USD","2705-10-1","Jd. Fanganielo","1","70499"
"2707-10","USD","2707-10-0","Metrô Itaquera","0","70500"
"2707-10","USD","2707-10-1","Chabilândia","1","70501"
"2708-10","USD","2708-10-0","Metrô Itaquera","0","70503"
"2708-10","USD","2708-10-1","Jd. Lajeado","1","70504"
"2709-10","USD","2709-10-0","Vl. União","0","59760"
"2709-31","USD","2709-31-0","Vl. União","0","59766"
"2710-10","USD","2710-10-0","Burgo Paulista","0","60535"
"2710-31","U__","2710-31-0","Term. A. E. Carvalho","0","63062"
"2711-10","USD","2711-10-0","Metrô Patriarca","0","52734"
"2711-10","USD","2711-10-1","Ponte Rasa","1","52735"
"2712-10","USD","2712-10-0","Shop. Metrô Itaquera","0","52736"
"2713-10","USD","2713-10-0","Chác. Bela Vista","0","60831"
"2714-10","USD","2714-10-0","Vl. Rui Barbosa","0","70203"
"2715-10","USD","2715-10-0","Metrô Patriarca","0","71278"
"2715-10","USD","2715-10-1","Vl. Sílvia","1","71894"
"2716-10","USD","2716-10-0","Metrô Penha","0","72494"
"2716-10","USD","2716-10-1","Chác. Cruz. Do Sul","1","72495"
"2717-10","USD","2717-10-0","Cangaíba","0","70590"
"2718-10","USD","2718-10-0","Metrô Penha","0","67784"
"2718-10","USD","2718-10-1","Vl. Sílvia","1","67785"
"2719-10","USD","2719-10-0","Metrô Vl. Matilde","0","71043"
"2719-10","USD","2719-10-1","Ermelino Matarazzo","1","71044"
"271A-10","USD","271A-10-0","Metrô Santana","0","63937"
"271A-10","USD","271A-10-1","Term. Penha","1","63938"
"271A-51","USD","271A-51-0","Metrô Santana","0","71142"
"271A-51","USD","271A-51-1","Cangaíba","1","71145"
"271C-10","USD","271C-10-0","Term. Princ. Isabel","0","70954"
"271C-10","USD","271C-10-1","Pq. Vl. Maria","1","70955"
"271F-10","USD","271F-10-0","Metrô Belém     ","0","60361"
"271F-10","USD","271F-10-1","Center Norte","1","60362"
"271M-10","USD","271M-10-0","Metrô Santana","0","63920"
"271M-10","USD","271M-10-1","Pq. Novo Mundo","1","53805"
"271P-10","USD","271P-10-0","Luz","0","71138"
"271P-10","USD","271P-10-1","Cangaíba","1","71139"
"2720-10","USD","2720-10-0","Metrô Guilhermina/esperança","0","69847"
"2720-10","USD","2720-10-1","Jd. Belém","1","61714"
"2720-31","US_","2720-31-0","Metrô Guilhermina/esperança","0","70175"
"2720-31","US_","2720-31-1","Jd. Belém","1","70176"
"2721-10","USD","2721-10-0","Metrô Itaquera","0","70450"
"2721-10","USD","2721-10-1","Jd. Nazaré","1","70451"
"2722-10","USD","2722-10-0","Metrô Guilhermina/esperança","0","70771"
"2722-10","USD","2722-10-1","Jd. Veronia","1","52935"
"2722-31","USD","2722-31-0","Jd. Verônia","0","70772"
"2723-10","USD","2723-10-0","Metrô Itaquera","0","70448"
"2723-10","USD","2723-10-1","União De Vl. Nova","1","70607"
"2724-10","USD","2724-10-0","Conj. Araucária","0","54038"
"2725-10","USD","2725-10-0","Jd. São Carlos","0","70842"
"2726-10","USD","2726-10-0","Metrô Penha","0","63060"
"2726-10","USD","2726-10-1","Limoeiro","1","63061"
"2727-10","USD","2727-10-0","Conj. A. E. Carvalho","0","70789"
"2728-10","USD","2728-10-0","Metrô Penha","0","71045"
"2728-10","USD","2728-10-1","Jd. Do Castelo","1","71046"
"272N-10","US_","272N-10-0","Pq. D. Pedro Ii","0","70964"
"2730-10","USD","2730-10-0","Metrô Artur Alvim","0","70843"
"2730-10","USD","2730-10-1","Vl. Jacui","1","70199"
"2731-10","USD","2731-10-0","Metrô Itaquera","0","70556"
"2731-10","USD","2731-10-1","Vl. Progresso","1","70581"
"2732-10","USD","2732-10-0","Vl. Regina","0","55383"
"2733-10","USD","2733-10-0","Metrô Itaquera","0","70467"
"2733-10","USD","2733-10-1","Pq. Guarani","1","70468"
"2734-10","USD","2734-10-0","Metrô Itaquera","0","70492"
"2734-10","USD","2734-10-1","Jd. Campos","1","70493"
"2735-10","USD","2735-10-0","Metrô Penha","0","71049"
"2735-10","USD","2735-10-1","Jd. Keralux","1","71050"
"2735-21","U__","2735-21-0","Metrô Penha","0","72084"
"2735-21","U__","2735-21-1","Jd. São Francisco","1","72085"
"273D-10","USD","273D-10-0","Metrô Artur Alvim","0","57224"
"273D-10","USD","273D-10-1","Pq. D. João Nery","1","57225"
"273F-10","U__","273F-10-0","Metrô Itaquera","0","71479"
"273F-10","U__","273F-10-1","Vl. Mara","1","71480"
"273G-10","USD","273G-10-0","Metrô Artur Alvim","0","65210"
"273G-10","USD","273G-10-1","Jd. Helena","1","70130"
"273G-21","U__","273G-21-0","Metrô Artur Alvim","0","72462"
"273J-10","USD","273J-10-0","Metrô Penha","0","72345"
"273J-10","USD","273J-10-1","Jd. Romano","1","72346"
"273L-10","USD","273L-10-0","Metrô Artur Alvim","0","60572"
"273L-10","USD","273L-10-1","Cptm José Bonifácio","1","60573"
"273N-10","USD","273N-10-0","Metrô Vl. Matilde","0","70186"
"273N-10","USD","273N-10-1","Cid. Kemel Ii","1","70187"
"273N-41","U__","273N-41-0","Metrô Vl. Matilde","0","72463"
"273R-10","USD","273R-10-0","Metrô Artur Alvim","0","45866"
"273R-10","USD","273R-10-1","Jd. Robru","1","45867"
"273R-42","U__","273R-42-0","Metrô Itaquera","0","72464"
"273V-10","US_","273V-10-0","Metrô Penha","0","60832"
"273V-10","US_","273V-10-1","Parada Xv De Novembro","1","60833"
"273X-10","USD","273X-10-0","Metrô Artur Alvim","0","52642"
"273X-10","USD","273X-10-1","Jd. Das Oliveiras","1","58619"
"2740-10","USD","2740-10-0","Metrô Santana","0","62234"
"274P-10","US_","274P-10-0","Metrô Vl. Mariana","0","63405"
"274P-10","US_","274P-10-1","Penha","1","63406"
